"Date","Reach","DownStreamSeg","RMTenthDry","Dry"
2019-09-16,"San Acacia",73.85,77,0
2019-09-16,"San Acacia",73.85,73.85,0
2019-09-16,"San Acacia",73.85,73.95,0
2019-09-16,"San Acacia",73.85,74.05,0
2019-09-16,"San Acacia",73.85,74.15,0
2019-09-16,"San Acacia",73.85,74.25,0
2019-09-16,"San Acacia",73.85,74.35,0
2019-09-16,"San Acacia",73.85,74.45,0
2019-09-16,"San Acacia",73.85,74.55,0
2019-09-16,"San Acacia",73.85,74.65,0
2019-09-16,"San Acacia",73.85,74.75,0
2019-09-16,"San Acacia",73.85,74.85,0
2019-09-16,"San Acacia",73.85,74.95,0
2019-09-16,"San Acacia",73.85,75.05,0
2019-09-16,"San Acacia",73.85,75.15,0
2019-09-16,"San Acacia",73.85,75.25,0
2019-09-16,"San Acacia",73.85,75.35,0
2019-09-16,"San Acacia",73.85,75.45,0
2019-09-16,"San Acacia",73.85,75.55,0
2019-09-16,"San Acacia",73.85,75.65,0
2019-09-16,"San Acacia",73.85,75.75,0
2019-09-16,"San Acacia",73.85,75.85,0
2019-09-16,"San Acacia",73.85,75.95,0
2019-09-16,"San Acacia",73.85,76.05,0
2019-09-16,"San Acacia",73.85,76.15,0
2019-09-16,"San Acacia",73.85,76.25,0
2019-09-16,"San Acacia",73.85,76.35,0
2019-09-16,"San Acacia",73.85,76.45,0
2019-09-16,"San Acacia",73.85,76.55,0
2019-09-16,"San Acacia",73.85,76.65,0
2019-09-16,"San Acacia",73.85,76.75,0
2019-09-16,"San Acacia",73.85,76.85,0
2019-09-16,"San Acacia",73.85,76.95,0
2019-10-05,"San Acacia",73.89,77.36,0
2019-10-05,"San Acacia",73.89,73.89,0
2019-10-05,"San Acacia",73.89,73.99,0
2019-10-05,"San Acacia",73.89,74.09,0
2019-10-05,"San Acacia",73.89,74.19,0
2019-10-05,"San Acacia",73.89,74.29,0
2019-10-05,"San Acacia",73.89,74.39,0
2019-10-05,"San Acacia",73.89,74.49,0
2019-10-05,"San Acacia",73.89,74.59,0
2019-10-05,"San Acacia",73.89,74.69,0
2019-10-05,"San Acacia",73.89,74.79,0
2019-10-05,"San Acacia",73.89,74.89,0
2019-10-05,"San Acacia",73.89,74.99,0
2019-10-05,"San Acacia",73.89,75.09,0
2019-10-05,"San Acacia",73.89,75.19,0
2019-10-05,"San Acacia",73.89,75.29,0
2019-10-05,"San Acacia",73.89,75.39,0
2019-10-05,"San Acacia",73.89,75.49,0
2019-10-05,"San Acacia",73.89,75.59,0
2019-10-05,"San Acacia",73.89,75.69,0
2019-10-05,"San Acacia",73.89,75.79,0
2019-10-05,"San Acacia",73.89,75.89,0
2019-10-05,"San Acacia",73.89,75.99,0
2019-10-05,"San Acacia",73.89,76.09,0
2019-10-05,"San Acacia",73.89,76.19,0
2019-10-05,"San Acacia",73.89,76.29,0
2019-10-05,"San Acacia",73.89,76.39,0
2019-10-05,"San Acacia",73.89,76.49,0
2019-10-05,"San Acacia",73.89,76.59,0
2019-10-05,"San Acacia",73.89,76.69,0
2019-10-05,"San Acacia",73.89,76.79,0
2019-10-05,"San Acacia",73.89,76.89,0
2019-10-05,"San Acacia",73.89,76.99,0
2019-10-05,"San Acacia",73.89,77.09,0
2019-10-05,"San Acacia",73.89,77.19,0
2019-10-05,"San Acacia",73.89,77.29,0
2019-08-21,"San Acacia",79.15,80.92,0
2019-08-21,"San Acacia",79.15,79.15,0
2019-08-21,"San Acacia",79.15,79.25,0
2019-08-21,"San Acacia",79.15,79.35,0
2019-08-21,"San Acacia",79.15,79.45,0
2019-08-21,"San Acacia",79.15,79.55,0
2019-08-21,"San Acacia",79.15,79.65,0
2019-08-21,"San Acacia",79.15,79.75,0
2019-08-21,"San Acacia",79.15,79.85,0
2019-08-21,"San Acacia",79.15,79.95,0
2019-08-21,"San Acacia",79.15,80.05,0
2019-08-21,"San Acacia",79.15,80.15,0
2019-08-21,"San Acacia",79.15,80.25,0
2019-08-21,"San Acacia",79.15,80.35,0
2019-08-21,"San Acacia",79.15,80.45,0
2019-08-21,"San Acacia",79.15,80.55,0
