"Date","Extent","ExtentChng","MileDays","Precip_mm","Temp_C","PrecipCum_mm","PrecipChng_mm","TempCum_C","TempChng_C","Discharge_cfs","DischargeCum_cfs","DischargeChng_cfs","Diversion_cfs","DiversionCum_cfs","DiversionChng_cfs","Returns_cfs","ReturnsCum_cfs","ReturnsChng_cfs","Reach"
2010-01-01,0,0,0,0,9.44,0,0,9.44,0,616,616,0,0,0,0,0,0,0,"R1"
2010-01-02,0,0,0,0,10,0,0,19.44,0.56,664,1280,48,0,0,0,0,0,0,"R1"
2010-01-03,0,0,0,0,12.22,0,0,31.66,2.22,678,1958,14,0,0,0,0,0,0,"R1"
2010-01-04,0,0,0,0,11.11,0,0,42.77,-1.11,681,2639,3,0,0,0,0,0,0,"R1"
2010-01-05,0,0,0,0,9.44,0,0,52.21,-1.67,692,3331,11,0,0,0,0,0,0,"R1"
2010-01-06,0,0,0,0,11.67,0,0,63.88,2.23,714,4045,22,0,0,0,0,0,0,"R1"
2010-01-07,0,0,0,0,15,0,0,78.88,3.33,723,4768,9,0,0,0,0,0,0,"R1"
2010-01-08,0,0,0,0,6.11,0,0,84.99,-8.89,725,5493,2,0,0,0,0,0,0,"R1"
2010-01-09,0,0,0,0,5,0,0,89.99,-1.11,730,6223,5,0,0,0,0,0,0,"R1"
2010-01-10,0,0,0,0,10,0,0,99.99,5,709,6932,-21,0,0,0,0,0,0,"R1"
2010-01-11,0,0,0,0,10,0,0,109.99,0,722,7654,13,0,0,0,0,0,0,"R1"
2010-01-12,0,0,0,0,14.44,0,0,124.43,4.44,709,8363,-13,0,0,0,0,0,0,"R1"
2010-01-13,0,0,0,0,14.44,0,0,138.87,0,706,9069,-3,0,0,0,0,0,0,"R1"
2010-01-14,0,0,0,0,11.11,0,0,149.98,-3.33,725,9794,19,0,0,0,0,0,0,"R1"
2010-01-15,0,0,0,0,16.67,0,0,166.65,5.56,727,10521,2,0,0,0,0,0,0,"R1"
2010-01-16,0,0,0,0,14.44,0,0,181.09,-2.23,722,11243,-5,0,0,0,0,0,0,"R1"
2010-01-17,0,0,0,0,13.33,0,0,194.42,-1.11,717,11960,-5,0,0,0,0,0,0,"R1"
2010-01-18,0,0,0,0,16.11,0,0,210.53,2.78,718,12678,1,0,0,0,0,0,0,"R1"
2010-01-19,0,0,0,6.86,12.78,6.86,6.86,223.31,-3.33,766,13444,48,0,0,0,0,0,0,"R1"
2010-01-20,0,0,0,0,12.78,6.86,-6.86,236.09,0,788,14232,22,0,0,0,0,0,0,"R1"
2010-01-21,0,0,0,0,10.56,6.86,0,246.65,-2.22,761,14993,-27,0,0,0,0,0,0,"R1"
2010-01-22,0,0,0,6.35,11.67,13.21,6.35,258.32,1.11,790,15783,29,0,0,0,0,0,0,"R1"
2010-01-23,0,0,0,3.05,10.5575,16.26,-3.3,268.8775,-1.1125,864,16647,74,0,0,0,0,0,0,"R1"
2010-01-24,0,0,0,0,9.445,16.26,-3.05,278.3225,-1.1125,797,17444,-67,0,0,0,0,0,0,"R1"
2010-01-25,0,0,0,0,8.3325,16.26,0,286.655,-1.1125,782,18226,-15,0,0,0,0,0,0,"R1"
2010-01-26,0,0,0,0,7.22,16.26,0,293.875,-1.1125,734,18960,-48,0,0,0,0,0,0,"R1"
2010-01-27,0,0,0,0,10,16.26,0,303.875,2.78,670,19630,-64,0,0,0,0,0,0,"R1"
2010-01-28,0,0,0,0,10,16.26,0,313.875,0,701,20331,31,0,0,0,0,0,0,"R1"
2010-01-29,0,0,0,2.03,4.44,18.29,2.03,318.315,-5.56,720,21051,19,0,0,0,0,0,0,"R1"
2010-01-30,0,0,0,0,4.44,18.29,-2.03,322.755,0,717,21768,-3,0,0,0,0,0,0,"R1"
2010-01-31,0,0,0,0,8.89,18.29,0,331.645,4.45,703,22471,-14,0,0,0,0,0,0,"R1"
2010-02-01,0,0,0,0,12.22,18.29,0,343.865,3.33,708,23179,5,0,0,0,0,0,0,"R1"
2010-02-02,0,0,0,0,11.11,18.29,0,354.975,-1.11,709,23888,1,0,0,0,0,0,0,"R1"
2010-02-03,0,0,0,0,12.78,18.29,0,367.755,1.67,717,24605,8,0,0,0,0,0,0,"R1"
2010-02-04,0,0,0,6.35,6.11,24.64,6.35,373.865,-6.67,725,25330,8,0,0,0,0,0,0,"R1"
2010-02-05,0,0,0,0,9.44,24.64,-6.35,383.305,3.33,732,26062,7,0,0,0,0,0,0,"R1"
2010-02-06,0,0,0,0,12.22,24.64,0,395.525,2.78,741,26803,9,0,0,0,0,0,0,"R1"
2010-02-07,0,0,0,0,11.67,24.64,0,407.195,-0.550000000000001,740,27543,-1,0,0,0,0,0,0,"R1"
2010-02-08,0,0,0,0.76,8.89,25.4,0.76,416.085,-2.78,752,28295,12,0,0,0,0,0,0,"R1"
2010-02-09,0,0,0,0,8.89,25.4,-0.76,424.975,0,737,29032,-15,0,0,0,0,0,0,"R1"
2010-02-10,0,0,0,0,11.67,25.4,0,436.645,2.78,713,29745,-24,0,0,0,0,0,0,"R1"
2010-02-11,0,0,0,0,11.67,25.4,0,448.315,0,694,30439,-19,0,0,0,0,0,0,"R1"
2010-02-12,0,0,0,0,10.56,25.4,0,458.875,-1.11,700,31139,6,0,0,0,0,0,0,"R1"
2010-02-13,0,0,0,0,15,25.4,0,473.875,4.44,712,31851,12,0,0,0,0,0,0,"R1"
2010-02-14,0,0,0,0,15,25.4,0,488.875,0,737,32588,25,0,0,0,0,0,0,"R1"
2010-02-15,0,0,0,0,12.78,25.4,0,501.655,-2.22,751,33339,14,0,0,0,0,0,0,"R1"
2010-02-16,0,0,0,0,9.44,25.4,0,511.095,-3.34,768,34107,17,0,0,0,0,0,0,"R1"
2010-02-17,0,0,0,0,12.78,25.4,0,523.875,3.34,766,34873,-2,0,0,0,0,0,0,"R1"
2010-02-18,0,0,0,0,15,25.4,0,538.875,2.22,719,35592,-47,0,0,0,0,0,0,"R1"
2010-02-19,0,0,0,0,17.78,25.4,0,556.655,2.78,656,36248,-63,0,0,0,0,0,0,"R1"
2010-02-20,0,0,0,0,16.67,25.4,0,573.325,-1.11,741,36989,85,0,0,0,0,0,0,"R1"
2010-02-21,0,0,0,0,16.67,25.4,0,589.995,0,742,37731,1,0,0,0,0,0,0,"R1"
2010-02-22,0,0,0,0,13.33,25.4,0,603.325,-3.34,748,38479,6,0,0,0,0,0,0,"R1"
