"Date","DivName","MnDischarge_cfs"
2002-01-01,"BELCN",NA
2002-01-02,"BELCN",NA
2002-01-03,"BELCN",NA
2002-01-04,"BELCN",NA
2002-01-05,"BELCN",NA
2002-01-06,"BELCN",NA
2002-01-07,"BELCN",NA
2002-01-08,"BELCN",NA
2002-01-09,"BELCN",NA
2002-01-10,"BELCN",NA
2002-01-11,"BELCN",NA
2002-01-12,"BELCN",NA
2002-01-13,"BELCN",NA
2002-01-14,"BELCN",NA
2002-01-15,"BELCN",NA
2002-01-16,"BELCN",NA
2002-01-17,"BELCN",NA
2002-01-18,"BELCN",NA
2002-01-19,"BELCN",NA
2002-01-20,"BELCN",NA
2002-01-21,"BELCN",NA
2002-01-22,"BELCN",NA
2002-01-23,"BELCN",NA
2002-01-24,"BELCN",NA
2002-01-25,"BELCN",NA
2002-01-26,"BELCN",NA
2002-01-27,"BELCN",NA
2002-01-28,"BELCN",NA
2002-01-29,"BELCN",NA
2002-01-30,"BELCN",NA
2002-01-31,"BELCN",NA
2002-02-01,"BELCN",NA
2002-02-02,"BELCN",NA
2002-02-03,"BELCN",NA
2002-02-04,"BELCN",NA
2002-02-05,"BELCN",NA
2002-02-06,"BELCN",NA
2002-02-07,"BELCN",NA
2002-02-08,"BELCN",NA
2002-02-09,"BELCN",NA
2002-02-10,"BELCN",NA
2002-02-11,"BELCN",NA
2002-02-12,"BELCN",NA
2002-02-13,"BELCN",NA
2002-02-14,"BELCN",NA
2002-02-15,"BELCN",NA
2002-02-16,"BELCN",NA
2002-02-17,"BELCN",NA
2002-02-18,"BELCN",NA
2002-02-19,"BELCN",NA
2002-02-20,"BELCN",NA
2002-02-21,"BELCN",NA
2002-02-22,"BELCN",NA
2002-02-23,"BELCN",NA
2002-02-24,"BELCN",NA
2002-02-25,"BELCN",NA
2002-02-26,"BELCN",NA
2002-02-27,"BELCN",NA
2002-02-28,"BELCN",NA
2002-03-01,"BELCN",NA
2002-03-02,"BELCN",177.296296296296
2002-03-03,"BELCN",195.041666666667
2002-03-04,"BELCN",198.06976744186
2002-03-05,"BELCN",196.958333333333
2002-03-06,"BELCN",122.416666666667
2002-03-07,"BELCN",60.1458333333333
2002-03-08,"BELCN",43.225
2002-03-09,"BELCN",NA
2002-03-10,"BELCN",NA
2002-03-11,"BELCN",42
2002-03-12,"BELCN",128.020833333333
2002-03-13,"BELCN",129.104166666667
2002-03-14,"BELCN",122.645833333333
2002-03-15,"BELCN",143.104166666667
2002-03-16,"BELCN",181.208333333333
2002-03-17,"BELCN",205.25
2002-03-18,"BELCN",207.625
2002-03-19,"BELCN",202.875
2002-03-20,"BELCN",192.395833333333
2002-03-21,"BELCN",195.395833333333
2002-03-22,"BELCN",177.041666666667
2002-03-23,"BELCN",177.083333333333
2002-03-24,"BELCN",178
2002-03-25,"BELCN",NA
2002-03-26,"BELCN",NA
2002-03-27,"BELCN",NA
2002-03-28,"BELCN",NA
2002-03-29,"BELCN",NA
2002-03-30,"BELCN",NA
2002-03-31,"BELCN",NA
2002-04-01,"BELCN",NA
2002-04-02,"BELCN",112.586206896552
2002-04-03,"BELCN",111.291666666667
2002-04-04,"BELCN",114.375
2002-04-05,"BELCN",139.5
