"RiverReach1_Date","ChngExtentDry","SumDaysDry","UpperLocationDry","Precip_LosLunas2_mm","TempMax_LosLunas2_C","RiverDischarge_BosqueFarms_cfs","Diversion_Isleta_Totalcfs","Returns_Totalcfs"
2010-01-01,0,0,NA,0,9.44,616,0,0
2010-01-02,0,0,NA,0,10,664,0,0
2010-01-03,0,0,NA,0,12.22,678,0,0
2010-01-04,0,0,NA,0,11.11,681,0,0
2010-01-05,0,0,NA,0,9.44,692,0,0
2010-01-06,0,0,NA,0,11.67,714,0,0
2010-01-07,0,0,NA,0,15,723,0,0
2010-01-08,0,0,NA,0,6.11,725,0,0
2010-01-09,0,0,NA,0,5,730,0,0
2010-01-10,0,0,NA,0,10,709,0,0
2010-01-11,0,0,NA,0,10,722,0,0
2010-01-12,0,0,NA,0,14.44,709,0,0
2010-01-13,0,0,NA,0,14.44,706,0,0
2010-01-14,0,0,NA,0,11.11,725,0,0
2010-01-15,0,0,NA,0,16.67,727,0,0
2010-01-16,0,0,NA,0,14.44,722,0,0
2010-01-17,0,0,NA,0,13.33,717,0,0
2010-01-18,0,0,NA,0,16.11,718,0,0
2010-01-19,0,0,NA,6.86,12.78,766,0,0
2010-01-20,0,0,NA,0,12.78,788,0,0
2010-01-21,0,0,NA,0,10.56,761,0,0
2010-01-22,0,0,NA,6.35,11.67,790,0,0
2010-01-23,0,0,NA,3.05,10.5575,864,0,0
2010-01-24,0,0,NA,0,9.445,797,0,0
2010-01-25,0,0,NA,0,8.3325,782,0,0
2010-01-26,0,0,NA,0,7.22,734,0,0
2010-01-27,0,0,NA,0,10,670,0,0
2010-01-28,0,0,NA,0,10,701,0,0
2010-01-29,0,0,NA,2.03,4.44,720,0,0
2010-01-30,0,0,NA,0,4.44,717,0,0
2010-01-31,0,0,NA,0,8.89,703,0,0
2010-02-01,0,0,NA,0,12.22,708,0,0
2010-02-02,0,0,NA,0,11.11,709,0,0
2010-02-03,0,0,NA,0,12.78,717,0,0
2010-02-04,0,0,NA,6.35,6.11,725,0,0
2010-02-05,0,0,NA,0,9.44,732,0,0
2010-02-06,0,0,NA,0,12.22,741,0,0
2010-02-07,0,0,NA,0,11.67,740,0,0
2010-02-08,0,0,NA,0.76,8.89,752,0,0
2010-02-09,0,0,NA,0,8.89,737,0,0
2010-02-10,0,0,NA,0,11.67,713,0,0
2010-02-11,0,0,NA,0,11.67,694,0,0
2010-02-12,0,0,NA,0,10.56,700,0,0
2010-02-13,0,0,NA,0,15,712,0,0
2010-02-14,0,0,NA,0,15,737,0,0
2010-02-15,0,0,NA,0,12.78,751,0,0
2010-02-16,0,0,NA,0,9.44,768,0,0
2010-02-17,0,0,NA,0,12.78,766,0,0
2010-02-18,0,0,NA,0,15,719,0,0
2010-02-19,0,0,NA,0,17.78,656,0,0
2010-02-20,0,0,NA,0,16.67,741,0,0
2010-02-21,0,0,NA,0,16.67,742,0,0
2010-02-22,0,0,NA,0,13.33,748,0,0
2010-02-23,0,0,NA,0,8.89,748,0,0
2010-02-24,0,0,NA,0,8.89,748,0,0
2010-02-25,0,0,NA,0,12.22,721,0,0
2010-02-26,0,0,NA,0,11.67,697,0,0
2010-02-27,0,0,NA,0,12.78,705,0,0
2010-02-28,0,0,NA,0,12.22,698,0,0
2010-03-01,0,0,NA,0,14.44,635,120.25,15.0208333333333
2010-03-02,0,0,NA,0,11.67,639,128.6,1.2
2010-03-03,0,0,NA,0,14.44,591,146.4,2
2010-03-04,0,0,NA,0,18.33,509,357.35,50.0416666666667
2010-03-05,0,0,NA,0,20.56,527,266.75,82.7916666666667
2010-03-06,0,0,NA,0,17.78,602,182.06,56.8541666666667
2010-03-07,0,0,NA,0,18.89,649,180.42,25.4166666666667
2010-03-08,0,0,NA,1.27,17.78,691,172.15,14
2010-03-09,0,0,NA,0,13.33,701,167.42,15.375
2010-03-10,0,0,NA,0,16.67,705,169.04,33.6458333333333
2010-03-11,0,0,NA,0,12.22,714,163.06,34.4375
2010-03-12,0,0,NA,0,14.44,696,243.85,11.4166666666667
2010-03-13,0,0,NA,0,16.67,658,285.23,38.95
2010-03-14,0,0,NA,0,21.11,653,283.59,28.5652173913043
2010-03-15,0,0,NA,0,13.33,655,302.69,29.5416666666667
2010-03-16,0,0,NA,0,13.33,633,341.81,29.3958333333333
2010-03-17,0,0,NA,0,18.33,634,354.73,26.1458333333333
2010-03-18,0,0,NA,0,21.11,631,372.67,35.9791666666667
2010-03-19,0,0,NA,0,22.78,588,393.44,22.3333333333333
2010-03-20,0,0,NA,5.33,17.22,627,306.52,35.6041666666667
2010-03-21,0,0,NA,0,8.33,714,232.25,16
2010-03-22,0,0,NA,0,17.22,668,311.23,14.7083333333333
2010-03-23,0,0,NA,0,22.22,669,584.48,19.3333333333333
2010-03-24,0,0,NA,1.02,12.78,707,774.1,16.1041666666667
2010-03-25,0,0,NA,0,10.56,777,336.96,25.8333333333333
2010-03-26,0,0,NA,0,18.33,828,337.6,25.6875
2010-03-27,0,0,NA,0,21.11,856,356.88,32.125
2010-03-28,0,0,NA,0,15,841,371.83,35.25
2010-03-29,0,0,NA,0,18.89,806,432.96,32.8333333333334
2010-03-30,0,0,NA,0,23.33,770,481.83,29.875
2010-03-31,0,0,NA,0,30,753,478.92,28.5
2010-04-01,0,0,NA,0,26.11,797,482.87,41.6041666666667
2010-04-02,0,0,NA,0,18.33,911,477.79,39.1666666666667
2010-04-03,0,0,NA,0,14.44,919,484.67,35.5208333333333
2010-04-04,0,0,NA,0,23.89,910,480.77,50.5208333333334
2010-04-05,0,0,NA,0,25.56,892,472.19,44.875
2010-04-06,0,0,NA,0,27.78,965,379.08,34.125
2010-04-07,0,0,NA,0,17.22,1000,409.91,45.75
2010-04-08,0,0,NA,0,16.67,933,477.98,31.3541666666667
2010-04-09,0,0,NA,0,20.56,912,472.67,41.7708333333333
2010-04-10,0,0,NA,0,25.56,881,483.19,23.5625
2010-04-11,0,0,NA,0,26.67,848,491.77,46.8125
2010-04-12,0,0,NA,0,26.67,891,506.17,48.6458333333333
2010-04-13,0,0,NA,0,27.78,1130,482.13,27.6041666666667
2010-04-14,0,0,NA,0,26.11,1680,462.66,40.9166666666667
2010-04-15,0,0,NA,0,26.11,1940,459.19,17.7708333333333
2010-04-16,0,0,NA,0,27.22,2380,513.79,24.1666666666666
2010-04-17,0,0,NA,10.67,26.67,2780,529.52,47.6875
2010-04-18,0,0,NA,0,19.44,2730,514.02,35.9574468085107
2010-04-19,0,0,NA,0,23.89,2180,483.77,27.3125
2010-04-20,0,0,NA,0.76,22.78,1890,496.83,53.5416666666667
2010-04-21,0,0,NA,0,25.56,2380,450.56,47.1041666666666
2010-04-22,0,0,NA,1.78,25.56,2900,439.6,52.4791666666667
2010-04-23,0,0,NA,4.57,13.33,2800,430.46,63.5833333333333
2010-04-24,0,0,NA,0,16.11,2520,404.17,68.6666666666666
2010-04-25,0,0,NA,0,22.22,2570,400.67,56.2291666666667
2010-04-26,0,0,NA,0,25.56,2600,357.92,49.4583333333333
2010-04-27,0,0,NA,0,26.11,2130,431.54,45.3125
2010-04-28,0,0,NA,0,25.56,1860,452.25,63.8333333333333
2010-04-29,0,0,NA,0,27.78,1770,485.17,58.8541666666666
2010-04-30,0,0,NA,0,25,1690,509.4,64.125
2010-05-01,0,0,NA,0,14.44,1620,502.73,61.5833333333333
2010-05-02,0,0,NA,0,17.22,1630,495.85,77.8333333333333
2010-05-03,0,0,NA,2.54,12.22,1700,483.38,94
2010-05-04,0,0,NA,0,22.78,2000,486.75,70.1458333333333
