"RiverReach2_Date","ExtentDry","DiffExtentDry","SumDaysDry","DiffSumDaysDry","UpperLocationDry","DiffUpperLocationDry","Precip_Bernardo_mm","TempMax_Bernardo_C","MnDischarge_Reach2","Diversion_Isleta_Totalcfs","Returns_Totalcfs"
2010-01-01,0,0,0,0,NA,NA,0,11.7,648,0,0
2010-01-02,0,0,0,0,NA,NA,0,12.8,702,0,0
2010-01-03,0,0,0,0,NA,NA,0,13.3,711,0,0
2010-01-04,0,0,0,0,NA,NA,0,11.7,716,0,0
2010-01-05,0,0,0,0,NA,NA,0,13.3,732,0,0
2010-01-06,0,0,0,0,NA,NA,0,14.4,725,0,0
2010-01-07,0,0,0,0,NA,NA,0,15.6,721,0,0
2010-01-08,0,0,0,0,NA,NA,0,6.1,725,0,0
2010-01-09,0,0,0,0,NA,NA,0,8.3,715,0,0
2010-01-10,0,0,0,0,NA,NA,0,12.2,682,0,0
2010-01-11,0,0,0,0,NA,NA,0,16.1,674,0,0
2010-01-12,0,0,0,0,NA,NA,0,16.1,688,0,0
2010-01-13,0,0,0,0,NA,NA,0,15.6,682,0,0
2010-01-14,0,0,0,0,NA,NA,0,17.2,723,0,0
2010-01-15,0,0,0,0,NA,NA,0,16.7,747,0,0
2010-01-16,0,0,0,0,NA,NA,0,13.9,749,0,0
2010-01-17,0,0,0,0,NA,NA,0,15,742,0,0
2010-01-18,0,0,0,0,NA,NA,1.5,13.3,738,0,0
2010-01-19,0,0,0,0,NA,NA,0,10.6,760,0,0
2010-01-20,0,0,0,0,NA,NA,0,15.6,823,0,0
2010-01-21,0,0,0,0,NA,NA,1.8,13.9,754,0,0
2010-01-22,0,0,0,0,NA,NA,7.6,9.4,765,0,0
2010-01-23,0,0,0,0,NA,NA,0,8.9,869,0,0
2010-01-24,0,0,0,0,NA,NA,0,12.8,815,0,0
2010-01-25,0,0,0,0,NA,NA,0,10,796,0,0
2010-01-26,0,0,0,0,NA,NA,0,10.6,790,0,0
2010-01-27,0,0,0,0,NA,NA,0,11.1,773,0,0
2010-01-28,0,0,0,0,NA,NA,7.6,13.9,764,0,0
2010-01-29,0,0,0,0,NA,NA,0,5.6,769,0,0
2010-01-30,0,0,0,0,NA,NA,0,10.6,771,0,0
2010-01-31,0,0,0,0,NA,NA,0,13.9,752,0,0
2010-02-01,0,0,0,0,NA,NA,0,-0.6,743,0,0
2010-02-02,0,0,0,0,NA,NA,0,14.4,745,0,0
2010-02-03,0,0,0,0,NA,NA,10.2,NA,753,0,0
2010-02-04,0,0,0,0,NA,NA,6.4,15.6,748,0,0
2010-02-05,0,0,0,0,NA,NA,0,15.6,742,0,0
2010-02-06,0,0,0,0,NA,NA,0,15.6,749,0,0
2010-02-07,0,0,0,0,NA,NA,0,15.6,768,0,0
2010-02-08,0,0,0,0,NA,NA,0,12.8,783,0,0
2010-02-09,0,0,0,0,NA,NA,0,3.3,799,0,0
2010-02-10,0,0,0,0,NA,NA,0,12.2,769,0,0
2010-02-11,0,0,0,0,NA,NA,0,12.2,723,0,0
2010-02-12,0,0,0,0,NA,NA,0,15,705,0,0
2010-02-13,0,0,0,0,NA,NA,0,19.4,704,0,0
2010-02-14,0,0,0,0,NA,NA,0,17.2,721,0,0
