"Date","MileDays","PrecipCum_mm","TempCum_C","DischargeCum_cfs","DiversionCum_cfs","ReturnsCum_cfs","Reach"
2010-04-01,0,40.9,1133.9,67178,306.96,0,"R1"
2010-04-02,0,40.9,1148,67923,356.94,0,"R1"
2010-04-03,0,40.9,1172.2,68823,377.13,0,"R1"
2010-04-04,0,40.9,1198,69780,411.53,0,"R1"
2010-04-05,0,40.9,1225.4,70767,433.01,0,"R1"
2010-04-06,0,40.9,1243.1,71731,461.07,0,"R1"
2010-04-07,0,40.9,1257.5,72781,497.62,0,"R1"
2010-04-08,0,40.9,1277.6,73931,527.5,0,"R1"
2010-04-09,0,40.9,1303.4,75001,560.17,0,"R1"
2010-04-10,0,40.9,1328.6,76001,589.96,0,"R1"
2010-04-11,0,40.9,1354.5,76918,621.48,0,"R1"
2010-04-12,0,40.9,1382.7,77795,632.52,0,"R1"
2010-04-13,0,40.9,1408.1,78752,643.25,0,"R1"
2010-04-14,0,40.9,1433.9,79862,654.21,0,"R1"
2010-04-15,0,40.9,1459.6,81992,664.69,0,"R1"
2010-04-16,0,41.4606351382225,1481.65,83962,681.73,0,"R1"
2010-04-17,0,45.7606351382225,1500.05,85792,686.04,0,"R1"
2010-04-18,0,45.7606351382225,1522.75,87302,686.04,0,"R1"
2010-04-19,0,45.7606351382225,1544.35,89002,686.04,0,"R1"
2010-04-20,0,45.7606351382225,1568.95,90852,686.04,0,"R1"
2010-04-21,0,45.7606351382225,1594.75,93392,686.04,0,"R1"
2010-04-22,0,52.8606351382225,1611.25,96582,686.04,0,"R1"
2010-04-23,0,52.8606351382225,1626.95,99182,686.04,0,"R1"
2010-04-24,0,52.8606351382225,1648.65,101152,686.04,0,"R1"
2010-04-25,0,52.8606351382225,1674.15,103822,686.04,0,"R1"
2010-04-26,0,52.8606351382225,1700.45,106682,686.04,0,"R1"
2010-04-27,0,52.8606351382225,1725.35,109612,686.04,0,"R1"
2010-04-28,0,52.8606351382225,1751.85,111902,733.29,0,"R1"
2010-04-29,0,52.8606351382225,1776.75,114062,797.54,0,"R1"
2010-04-30,0,52.8606351382225,1790.55,116132,854.89,0,"R1"
2010-05-01,0,52.8606351382225,1805.05,117992,914.35,0,"R1"
2010-05-02,0,52.8606351382225,1819.15,119722,967.12,0,"R1"
2010-05-03,0,53.0606351382225,1841.15,121612,1021.14,0,"R1"
2010-05-04,0,53.0606351382225,1869.85,123562,1078.39,0,"R1"
2010-05-05,0,53.0606351382225,1900.95,125612,1138.29,0,"R1"
2010-05-06,0,53.0606351382225,1931.55,127982,1202.54,0,"R1"
2010-05-07,0,53.0606351382225,1957.85,129992,1266.21,0,"R1"
2010-05-08,0,53.0606351382225,1983.95,132062,1316.92,0,"R1"
2010-05-09,0,53.0606351382225,2014.75,134202,1360.65,0,"R1"
2010-05-10,0,53.0606351382225,2041.65,136492,1401,0,"R1"
2010-05-11,0,53.0606351382225,2070.25,138672,1472.71,0,"R1"
2010-05-12,0,53.0606351382225,2091.75,141212,1552.77,0,"R1"
2010-05-13,0,53.0606351382225,2116.15,143822,1691.31,0,"R1"
2010-05-14,0,53.0606351382225,2144.25,146102,1777.21,0,"R1"
2010-05-15,0,53.0606351382225,2168.25,148042,1856.92,0,"R1"
2010-05-16,0,53.0606351382225,2195.55,149602,1936.48,0,"R1"
2010-05-17,0,53.0606351382225,2226.15,151082,2014.33,0,"R1"
2010-05-18,0,53.0606351382225,2254.35,152462,2073.51,0,"R1"
2010-05-19,0,53.0606351382225,2281.55,153802,2132.01,0,"R1"
2010-05-20,0,53.0606351382225,2312.35,155662,2187.86,0,"R1"
2010-05-21,0,53.0606351382225,2345.65,157832,2249.24,0,"R1"
2010-05-22,0,53.0606351382225,2378.05,161292,2261.62,0,"R1"
2010-05-23,0,53.0606351382225,2408.45,164562,2261.62,0,"R1"
2010-05-24,0,53.0606351382225,2432.35,167532,2289.22,0,"R1"
2010-05-25,0,53.0606351382225,2461.25,170952,2328.28,0,"R1"
2010-05-26,0,53.0606351382225,2493.65,174322,2345.57,0,"R1"
2010-05-27,0,57.0606351382225,2527.95,176692,2345.57,0,"R1"
2010-05-28,0,57.0606351382225,2561.15,178712,2359.42,0,"R1"
2010-05-29,0,57.0606351382225,2595.75,180732,2379.34,0,"R1"
2010-05-30,0,57.0606351382225,2627.65,182802,2394.4,0,"R1"
2010-05-31,0,57.0606351382225,2661.55,184742,2419.28,0,"R1"
2010-06-01,0,57.2606351382225,2694.15,186662,2444.14,0,"R1"
2010-06-02,0,57.2606351382225,2726.55,188382,2490.99,0,"R1"
2010-06-03,0,57.2606351382225,2761.05,189852,2541.43,0,"R1"
2010-06-04,0,57.2606351382225,2797.75,191162,2591.99,0,"R1"
2010-06-05,0,57.2606351382225,2837.95,192372,2642.57,0,"R1"
2010-06-06,0,57.2606351382225,2876.95,193392,2691.11,0,"R1"
2010-06-07,0,57.2606351382225,2914.35,194242,2742.61,0,"R1"
2010-06-08,0,57.2606351382225,2952.25,194983,2809.09,0,"R1"
2010-06-09,0,57.2606351382225,2990.65,195607,2885.34,0,"R1"
2010-06-10,0,57.2606351382225,3027.75,196243,2966.57,0,"R1"
2010-06-11,0,57.2606351382225,3061.55,196904,3040.92,0,"R1"
