"Date","Year","Month","Month.n","Day","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1","Reach"
2018-12-11,2018,"Dec",12,11,6.8,0,1.1,5.6,0,0,6.8,6.4,4.9,92792.7,"5"
2018-12-10,2018,"Dec",12,10,6.8,0,1.1,5.6,0,0,6.8,6.4,4.8,92779.3,"5"
2018-12-09,2018,"Dec",12,9,6.8,0,1.1,5.6,0,0,6.8,6.4,4.8,92765.9,"5"
2018-12-08,2018,"Dec",12,8,6.8,0,1.1,5.6,0,0,6.8,6,4.9,92752.6,"5"
2018-12-07,2018,"Dec",12,7,4.8,0,0.8,4,0,0,4.8,5.6,5.1,92739.2,"5"
2018-12-06,2018,"Dec",12,6,6.8,0,1.1,5.6,0,0,6.8,3.4,5.4,92729.7,"5"
2018-12-05,2018,"Dec",12,5,6.8,0,1.1,5.6,0,0,6.8,3.3,5.5,92716.3,"5"
2018-12-04,2018,"Dec",12,4,4.8,0,0.8,4,0,0,4.8,3.2,5.5,92703,"5"
2018-12-03,2018,"Dec",12,3,4.8,0,0.8,4,0,0,4.8,3.9,6.1,92693.5,"5"
2018-12-02,2018,"Dec",12,2,6.7,0,1.1,5.6,0,12.9,-6.1,4.7,6.4,92684,"5"
2018-12-01,2018,"Dec",12,1,6.7,0,1.1,5.6,0,0.2,6.5,7.5,7.9,92696.1,"5"
2018-11-30,2018,"Nov",11,30,6.7,0,1.1,5.6,0,0.9,5.8,7.6,8.1,92683.3,"5"
2018-11-29,2018,"Nov",11,29,8.7,0,1.5,7.2,0,0,8.7,7.8,8.4,92671.8,"5"
2018-11-28,2018,"Nov",11,28,8.7,0,1.5,7.2,0,0,8.7,8.2,8.4,92654.6,"5"
2018-11-27,2018,"Nov",11,27,7.7,0,1.3,6.4,0,0,7.7,8.2,8.4,92637.4,"5"
